pert_iname,sig_id,cell,pert_idose,pert_itime(h),Jaccard,instersection with queried up,instersection with queried down
tretinoin,AML001_CD34_24H:BRD-K71879491:3.33333,CD34,3 µM,24,0.07307171853856563,"1026,10318,11151,116496,1230,1236,133,1462,1512,1604,2123,2207,2219,2357,241,2919,2921,302,3043,3055,3428,3561,3597,3937,3983,4057,4082,4332,5265,5355,6192,6279,6280,6282,6283,64092,6515,7040,7045,728,729230,7305,7462,7791,85236,87,8743,8870,9056,9086,929,948,972,9935",
letrozole,REP.A008_HT29_24H:N15,HT29,1.11 um,24,0.06919945725915876,"10410,10437,10561,10581,10628,10875,10964,2207,2215,2353,27074,3001,3002,301,3146,330,3312,3553,3665,3759,3934,4067,4599,4938,4939,50486,51056,5265,5266,5272,5551,5660,57823,6279,6280,6351,64116,6590,6774,7124,719,7305,7453,7805,8519,8743,9056,929,9636,969,9935",
pyrimethamine,REP.A026_YAPC_24H:D11,YAPC,0.12 um,24,0.06705539358600583,"10135,10409,10625,1499,1508,1536,1545,2215,2357,2495,2752,2872,2919,3312,3759,3934,4082,4332,4502,5196,5265,54205,5552,5660,5696,57162,5806,5912,6279,6280,6282,6283,6286,6303,6515,6590,6622,6648,7048,8519,8655,8837,8875,929,960,9935",
adenosine,REP.A012_PC3_24H:G01,PC3,10.0 um,24,0.06628242074927954,"10161,10410,10581,1116,116496,1512,1604,2357,241,25816,27074,301,3043,3045,330,3669,3934,4005,4057,4318,4502,4791,50486,5272,5329,53346,53827,5551,60489,6286,6351,6364,64092,645,6521,6590,6648,7124,7127,7128,7130,7305,7764,8519,8743,969",
dasatinib,LJP006_HME1_3H:I04,HME1,0.37 um,3,0.06571428571428571,"101,10105,1043,10602,1633,1647,1844,23645,23764,241,2876,2919,2920,2921,3553,3557,3569,3624,3934,4082,4317,4318,4616,50486,5055,5209,5266,5329,5696,57162,5743,5806,597,6280,6283,6364,6515,7057,7124,7128,7791,8682,9188,9308,9334,948",
enoxolone,REP.A008_HELA_24H:H23,HELA,0.12 um,24,0.06506364922206506,"10161,10561,10964,1476,1843,217,2207,27074,2752,2920,2921,301,3043,3434,3437,3553,3669,397,4082,4170,4318,4599,4791,4814,4939,4940,51056,5265,5272,57162,5861,60,6303,64116,65108,7048,7107,7295,7305,7533,7805,8519,8638,8743,929,9935",
ramelteon,REP.A001_HA1E_24H:I22,HA1E,0.37 um,24,0.06489675516224189,"10379,10410,10581,10964,1236,1476,2643,2665,27074,2919,292,3002,302,3312,3320,3398,3434,3560,3665,3956,4067,4938,4942,51191,5499,5660,602,6275,6282,6303,6351,64167,6647,6653,6772,694,7037,7045,8519,8743,8837,9636,967,975",
minoxidil,CPC006_OV7_6H:BRD-K14888893-001-05-6:10,OV7,10 µM,6,0.06442166910688141,"10370,10409,10625,10628,10659,10957,133,1499,1508,1512,1536,214,2180,2219,2643,3001,3002,308,334,3560,3936,3956,4082,4170,4502,5055,5265,5551,5660,6192,6277,6279,6281,6303,6351,64167,6622,7057,7295,7305,9086,9308,9516,975",
gefitinib,LJP006_HME1_3H:N10,HME1,0.37 um,3,0.06392045454545454,"10105,1230,1536,1844,1848,1983,2022,214,2207,2353,23764,241,28231,2919,2921,3001,3159,3312,3553,3557,3624,3669,4057,4318,4609,4860,50486,51056,5265,5266,5329,5743,597,6283,6351,6364,65108,7040,7127,7130,729230,7462,8870,929,9334",
thalidomide,CPC018_PHH_24H:BRD-A93255169-001-13-5:10,PHH,10 µM,24,0.06364922206506365,"1027,10561,10964,1512,1536,1669,2207,241,2495,25816,3043,3045,3055,3398,3434,3624,3934,3956,3983,4057,4317,4318,4973,5265,5552,6280,6283,6286,6303,6364,64092,64116,645,6590,7037,7045,7086,7295,7305,8837,8991,9595,960,969,9935",
