pert_iname	PDB	delta_E
crizotinib	5ijc	-8.6
mitoxantrone	5ijc	-7.1
nilotinib	5ijc	-10.6
trametinib	5ijc	-8.5
vemurafenib	5ijc	-9.4
gefitinib	5ijc	-7.7
nintedanib	5ijc	-8.7
bosutinib	5ijc	-8.1
cabozantinib	5ijc	-8.6
pazopanib	5ijc	-9.2
vandetanib	5ijc	-8.6
vorinostat	5ijc	-6.9
belinostat	5ijc	-8.1
olaparib	5ijc	-10.3
resveratrol	5ijc	-7.8
tranylcypromine	5ijc	-6.2
alectinib	5ijc	-9.6
dabrafenib	5ijc	-10.7
ponatinib	5ijc	-10.6
regorafenib	5ijc	-9.1
niclosamide	5ijc	-8
lenalidomide	5ijc	-7.4
verteporfin	5ijc	-9.9
acebutolol	5ijc	-6.7
aminoglutethimide	5ijc	-7.2
benzydamine	5ijc	-7.8
blonanserin	5ijc	-9.2
cyproheptadine	5ijc	-9.7
disopyramide	5ijc	-5.5
dutasteride	5ijc	-11.6
imiquimod	5ijc	-7.9
inosine	5ijc	-7.3
nicardipine	5ijc	-6.7
oxaprozin	5ijc	-8.3
physostigmine	5ijc	-7.3
propafenone	5ijc	-6.8
pyrazinamide	5ijc	-5.2
ramelteon	5ijc	-7.7
tolperisone	5ijc	-7.5
topiramate	5ijc	-7.1
torasemide	5ijc	-8.5
artesunate	5ijc	-8.2
bambuterol	5ijc	-7.1
bendamustine	5ijc	-5.9
butoconazole	5ijc	-7.6
carprofen	5ijc	-8
cefdinir	5ijc	-8.2
clarithromycin	5ijc	-8.7
clotrimazole	5ijc	-8.4
estriol	5ijc	-8.2
ibudilast	5ijc	-7
ibuprofen	5ijc	-7.4
nevirapine	5ijc	-8.1
oxymetazoline	5ijc	-7.4
papaverine	5ijc	-7.5
rebamipide	5ijc	-8.5
ropinirole	5ijc	-7.2
telbivudine	5ijc	-6.9
azathioprine	5ijc	-7.8
ciclesonide	5ijc	-10.1
clofarabine	5ijc	-7.6
dacarbazine	5ijc	-6.1
disulfiram	5ijc	-4.7
dolutegravir	5ijc	-8.4
gimeracil	5ijc	-5.5
glimepiride	5ijc	-8.6
ivabradine	5ijc	-8.4
linagliptin	5ijc	-8.5
liranaftate	5ijc	-8
methocarbamol	5ijc	-6
miltefosine	5ijc	-5.7
oxfendazole	5ijc	-8
pemirolast	5ijc	-8
primidone	5ijc	-7.3
sotalol	5ijc	-6.5
tamibarotene	5ijc	-9
yohimbine	5ijc	-8.9
atomoxetine	5ijc	-7.2
benzthiazide	5ijc	-7.9
diflunisal	5ijc	-8
formestane	5ijc	-9.2
levocetirizine	5ijc	-7.8
maprotiline	5ijc	-8.9
mecamylamine	5ijc	-5.8
mianserin	5ijc	-8.4
nitrendipine	5ijc	-7.7
ofloxacin	5ijc	-8.1
ondansetron	5ijc	-8.2
prochlorperazine	5ijc	-7.5
simvastatin	5ijc	-8.6
tazobactam	5ijc	-7.5
trimipramine	5ijc	-8
argatroban	5ijc	-8.9
benzbromarone	5ijc	-7.9
gemfibrozil	5ijc	-6.6
granisetron	5ijc	-8.5
latanoprost	5ijc	-7.5
levofloxacin	5ijc	-8.4
norethindrone	5ijc	-9.2
norfloxacin	5ijc	-7.7
palonosetron	5ijc	-8.9
propranolol	5ijc	-6.6
racecadotril	5ijc	-8.2
ramatroban	5ijc	-9.4
sulfasalazine	5ijc	-8.8
verapamil	5ijc	-6.7
atovaquone	5ijc	-9.6
buflomedil	5ijc	-6.2
busulfan	5ijc	-5
chloramphenicol	5ijc	-7
closantel	5ijc	-8.6
diphenylpyraline	5ijc	-8.3
eplerenone	5ijc	-8.8
ganciclovir	5ijc	-6.2
ifenprodil	5ijc	-9.2
meptazinol	5ijc	-7.1
mizolastine	5ijc	-9.9
neostigmine	5ijc	-6
olanzapine	5ijc	-7.7
pantoprazole	5ijc	-7.2
piracetam	5ijc	-5.2
praziquantel	5ijc	-8.6
riluzole	5ijc	-6.7
rufinamide	5ijc	-7.1
sitagliptin	5ijc	-8.6
amfepramone	5ijc	-6.3
amitriptyline	5ijc	-9.1
anastrozole	5ijc	-7.8
clomipramine	5ijc	-8.1
elvitegravir	5ijc	-8.8
empagliflozin	5ijc	-8.1
fosinopril	5ijc	-7.9
metronidazole	5ijc	-5.1
mitiglinide	5ijc	-9
ornidazole	5ijc	-6
perampanel	5ijc	-9.3
pidotimod	5ijc	-6.8
propylthiouracil	5ijc	-5.7
ritonavir	5ijc	-8.2
sulfadoxine	5ijc	-6.7
sulpiride	5ijc	-7.2
temsirolimus	5ijc	-9.7
teriflunomide	5ijc	-8
trifluoperazine	5ijc	-8.1
zileuton	5ijc	-6.4
alprostadil	5ijc	-7.2
amcinonide	5ijc	-10
amodiaquine	5ijc	-7.8
armodafinil	5ijc	-7.1
cevimeline	5ijc	-6.2
daunorubicin	5ijc	-9
ecabet	5ijc	-8
enoxolone	5ijc	-9.5
felbamate	5ijc	-6.2
fingolimod	5ijc	-6.2
irbesartan	5ijc	-9.3
isoniazid	5ijc	-5.6
lesinurad	5ijc	-7.5
letrozole	5ijc	-8.9
mefloquine	5ijc	-8.6
mestinon	5ijc	-5.3
moxonidine	5ijc	-6
perindopril	5ijc	-6.6
urea	5ijc	-3.3
actarit	5ijc	-6.6
adapalene	5ijc	-10.8
amlexanox	5ijc	-8
bicalutamide	5ijc	-8.9
cimetidine	5ijc	-5.2
cytarabine	5ijc	-6.7
felodipine	5ijc	-6.1
fenticonazole	5ijc	-8.5
flutamide	5ijc	-7.3
ketotifen	5ijc	-7.7
mozavaptan	5ijc	-9.7
nicotinamide	5ijc	-5.2
pravastatin	5ijc	-7.4
rifabutin	5ijc	-11.9
temozolomide	5ijc	-5.8
theobromine	5ijc	-5.7
tolazamide	5ijc	-8.2
zidovudine	5ijc	-6.8
